"","entry_id","time","uv","lux","temperature","pressure","humidity","pm1","pm2_5","pm10","speed","rain","direction","device"
"1","1","2024-03-06 13:57:31.179494",NA,NA,"8","618","42","16","28","28","10.21","0","SW","Artik"
"2","2","2024-03-06 14:12:36.230048",NA,NA,"9","618","39","14","25","26","7.04","0","W","Artik"
"3","3","2024-03-06 14:27:41.279162",NA,NA,"9","618","40","14","24","25","6.72","0","SW","Artik"
"4","4","2024-03-06 14:42:46.330853",NA,NA,"9","617","40","16","29","29","7.24","0","SW","Artik"
"5","5","2024-03-06 14:57:51.383462",NA,NA,"9","617","40","15","26","26","7.42","0","SW","Artik"
"6","6","2024-03-06 15:12:56.436704",NA,NA,"9","617","40","16","29","31","7.18","0","S","Artik"
"7","7","2024-03-06 15:28:01.491205",NA,NA,"8","617","41","16","29","29","5.93","0","SW","Artik"
"8","8","2024-03-06 15:43:06.533484",NA,NA,"8","617","43","16","27","27","7.93","0","W","Artik"
"9","9","2024-03-06 15:58:11.586190",NA,NA,"7","617","44","16","26","27","6.59","0","S","Artik"
"10","10","2024-03-06 16:13:16.763471",NA,NA,"6","617","47","18","35","35","8.28","0","SW","Artik"
"11","11","2024-03-06 16:28:21.819245",NA,NA,"6","617","48","18","30","31","8.65","0","SW","Artik"
"12","12","2024-03-06 16:43:26.872847",NA,NA,"6","617","47","17","33","33","6.04","0","SE","Artik"
"13","13","2024-03-06 16:58:31.918416",NA,NA,"6","617","49","16","30","31","5.5","0","W","Artik"
"14","14","2024-03-06 17:13:37.047863",NA,NA,"6","617","49","14","24","26","5.02","0","E","Artik"
"15","15","2024-03-06 17:28:42.102911",NA,NA,"6","617","49","13","24","24","5.33","0","W","Artik"
"16","16","2024-03-06 17:43:47.150096",NA,NA,"5","617","53","16","32","33","5.93","0","SW","Artik"
"17","17","2024-03-06 17:58:52.200901",NA,NA,"5","617","52","14","24","24","7.73","0","SW","Artik"
"18","18","2024-03-06 18:13:57.251651",NA,NA,"4","617","59","15","29","29","7.28","0","SW","Artik"
"19","19","2024-03-06 18:29:02.287170",NA,NA,"4","617","61","16","26","27","5.89","0","SW","Artik"
"20","20","2024-03-06 18:44:07.341136",NA,NA,"4","617","59","18","32","32","7.12","0","SW","Artik"
"21","21","2024-03-06 18:59:12.393928",NA,NA,"4","617","57","13","23","25","6.41","0","SW","Artik"
"22","22","2024-03-06 19:14:17.446409",NA,NA,"4","617","55","17","33","33","8.23","0","SW","Artik"
"23","23","2024-03-06 19:29:22.521014",NA,NA,"4","617","57","18","33","34","10.87","0","S","Artik"
"24","24","2024-03-06 19:44:27.565122",NA,NA,"4","617","59","13","26","27","10.11","0","S","Artik"
"25","25","2024-03-06 19:59:32.616371",NA,NA,"4","617","61","16","29","29","12.33","0","SW","Artik"
"26","26","2024-03-06 20:14:37.671321",NA,NA,"3","617","64","17","27","27","13.15","0","S","Artik"
"27","27","2024-03-06 20:29:42.724793",NA,NA,"4","617","61","15","36","41","11.61","0","SW","Artik"
"28","28","2024-03-06 20:44:47.783183",NA,NA,"4","617","60","15","26","26","11.48","0","SW","Artik"
"29","29","2024-03-06 20:59:52.836834",NA,NA,"4","617","58","16","32","32","9.11","0","W","Artik"
"30","30","2024-03-06 21:14:57.885843",NA,NA,"4","617","59","16","33","33","10.55","0","S","Artik"
"31","31","2024-03-06 21:30:02.942280",NA,NA,"4","617","56","15","24","25","12.38","0","SW","Artik"
"32","32","2024-03-06 21:45:07.995703",NA,NA,"4","617","55","16","26","26","11.67","0","SW","Artik"
"33","33","2024-03-06 22:00:13.055899",NA,NA,"5","617","53","16","33","34","9.1","0","S","Artik"
"34","34","2024-03-06 22:15:18.108088",NA,NA,"5","617","53","15","28","29","11.39","0","S","Artik"
"35","35","2024-03-06 22:30:23.155212",NA,NA,"5","617","52","17","32","33","10.35","0","S","Artik"
"36","36","2024-03-06 22:45:28.200187",NA,NA,"5","617","50","14","25","25","8.95","0","SW","Artik"
"37","37","2024-03-06 23:00:33.256981",NA,NA,"5","617","48","13","23","25","9.89","0","SW","Artik"
"38","38","2024-03-06 23:15:38.308079",NA,NA,"5","617","49",NA,NA,NA,"6.69","0","S","Artik"
"39","39","2024-03-06 23:30:43.352862",NA,NA,"4","617","51","14","24","24","4.72","0","SW","Artik"
"40","40","2024-03-06 23:45:48.399886",NA,NA,"4","617","52","13","20","21","3.31","0","E","Artik"
"41","41","2024-03-07 00:00:53.447324",NA,NA,"4","617","52","14","23","25","1.81","0","SW","Artik"
"42","42","2024-03-07 00:15:58.501305",NA,NA,"5","617","51","13","27","28","4.87","0","SW","Artik"
"43","43","2024-03-07 00:31:03.549964",NA,NA,"2","617","70","21","42","48","4.69","0","SW","Artik"
"44","44","2024-03-07 00:46:08.645948",NA,NA,"2","617","75","22","40","45","2.56","0","S","Artik"
"45","45","2024-03-07 01:01:13.697210",NA,NA,"3","617","67","14","21","22","3.31","0","S","Artik"
"46","46","2024-03-07 01:16:18.742016",NA,NA,"2","617","71","14","23","24","3.8","0","NW","Artik"
"47","47","2024-03-07 01:31:23.789019",NA,NA,"2","617","71","13","26","28","2.46","0","NW","Artik"
"48","48","2024-03-07 01:46:28.841915",NA,NA,"3","617","73","18","30","32","3.43","0","W","Artik"
"49","49","2024-03-07 02:01:33.895624",NA,NA,"2","617","78","16","31","33","5.44","0","SE","Artik"
