"","entry_id","time","uv","lux","temperature","pressure","humidity","pm1","pm2_5","pm10","speed","rain","direction","device"
"1","1","2024-03-07 13:56:47.497324",NA,NA,"2","634","83","11","23","23","0.95","0","W","Azatan"
"2","2","2024-03-07 14:11:47.487215",NA,NA,"2","634","86","14","27","27","1.09","0","NW","Azatan"
"3","3","2024-03-07 14:26:47.479449",NA,NA,"4","634","79","17","34","36","2.3","0","W","Azatan"
"4","4","2024-03-07 14:41:47.471101",NA,NA,"6","634","73","13","22","24","1.24","0","W","Azatan"
"5","5","2024-03-07 14:56:47.465926",NA,NA,"5","633","78","14","28","30","1.15","0","NW","Azatan"
"6","6","2024-03-07 15:11:47.512385",NA,NA,"4","634","81","15","25","26","1.28","0","SW","Azatan"
"7","7","2024-03-07 15:26:47.546286",NA,NA,"3","634","86","15","25","26","1.7","0","N","Azatan"
"8","8","2024-03-07 15:41:47.595366",NA,NA,"3","634","85","28","47","49","1.03","0","NE","Azatan"
"9","9","2024-03-07 15:56:47.645628",NA,NA,"3","634","84","11","25","25","1.58","0","E","Azatan"
"10","10","2024-03-07 16:11:47.695497",NA,NA,"3","634","84","9","14","14","1.75","0","NE","Azatan"
"11","11","2024-03-07 16:26:47.745540",NA,NA,"4","634","85","8","13","13","1.5","0","SW","Azatan"
"12","12","2024-03-07 16:41:47.795511",NA,NA,"3","634","83","4","9","9","3.23","0","NW","Azatan"
"13","13","2024-03-07 16:56:47.845433",NA,NA,"2","634","85","6","9","9","3.49","0","NE","Azatan"
"14","14","2024-03-07 17:11:47.894147",NA,NA,"2","634","85","3","6","6","3.19","0","NW","Azatan"
"15","15","2024-03-07 17:26:47.927415",NA,NA,"1","634","87","4","7","8","3.13","0","NW","Azatan"
"16","16","2024-03-07 17:41:47.972801",NA,NA,"1","634","90","8","12","12","1.05","0","W","Azatan"
"17","17","2024-03-07 17:56:48.027465",NA,NA,"0","634","90","18","31","32","1.06","0","SW","Azatan"
"18","18","2024-03-07 18:11:48.018908",NA,NA,"1","634","90","19","41","44","1.57","0","SW","Azatan"
"19","19","2024-03-07 18:26:48.016407",NA,NA,"1","634","88","7","11","13","1.2","0","NW","Azatan"
"20","20","2024-03-07 18:41:48.004146",NA,NA,"0","635","92","15","27","27","3.03","0","SW","Azatan"
"21","21","2024-03-07 18:56:47.996947",NA,NA,"0","635","93","23","52","56","1.38","0","NW","Azatan"
"22","22","2024-03-07 19:11:47.988352",NA,NA,"0","635","93","37","70","70","1.96","0","W","Azatan"
"23","23","2024-03-07 19:26:47.964235",NA,NA,"0","635","94","13","20","21","1.86","0","SW","Azatan"
"24","24","2024-03-07 19:41:47.953102",NA,NA,"0","635","93","26","46","47","0.97","0","SE","Azatan"
"25","25","2024-03-07 19:56:48.001960",NA,NA,"1","635","83","5","6","7","2.04","0","NE","Azatan"
"26","26","2024-03-07 20:11:48.047557",NA,NA,"1","635","77","1","1","2","3.82","0","NE","Azatan"
"27","27","2024-03-07 20:26:48.096836",NA,NA,"1","635","76","0","1","1","2.77","0","N","Azatan"
"28","28","2024-03-07 20:41:48.143957",NA,NA,"1","635","75","1","2","3","4.21","0","NE","Azatan"
"29","29","2024-03-07 20:56:48.191854",NA,NA,"1","636","77","1","1","2","2.42","0","NE","Azatan"
"30","30","2024-03-07 21:11:48.239451",NA,NA,"1","636","78","4","7","7","1.3","0","NE","Azatan"
"31","31","2024-03-07 21:26:48.272422",NA,NA,"1","636","79","3","4","4","1.06","0","NE","Azatan"
"32","32","2024-03-07 21:41:48.322029",NA,NA,"1","636","79","2","3","3","1.6","0","NE","Azatan"
"33","33","2024-03-07 21:56:48.369573",NA,NA,"1","636","76","2","3","3","4.38","0","NE","Azatan"
"34","34","2024-03-07 22:11:48.416908",NA,NA,"1","636","75","2","3","3","5.66","0","E","Azatan"
"35","35","2024-03-07 22:26:48.462919",NA,NA,"1","636","74","2","5","6","8.14","0","NE","Azatan"
"36","36","2024-03-07 22:41:48.511430",NA,NA,"1","636","73","3","7","7","5.42","0","NE","Azatan"
"37","37","2024-03-07 22:56:48.560255",NA,NA,"1","636","73","1","2","2","3.26","0","NE","Azatan"
