"","entry_id","time","uv","lux","temperature","pressure","humidity","pm1","pm2_5","pm10","speed","rain","direction","device"
"1","1","2024-06-18 16:09:08.847258","1.94","51974.31","25.84","602","20","1","2","2","2.72","0","E","Gavar"
"2","2","2024-06-18 16:24:08.974752","1.88","51974.31","26.28","603","22","2","4","4","4.74","0","N","Gavar"
"3","3","2024-06-18 16:39:09.098168","1.72","51974.31","24.67","603","26","3","5","5","7.26","0","NE","Gavar"
"4","4","2024-06-18 16:54:09.219394","0.92","27813.53","22.37","603","30","3","4","4","6.37","0","E","Gavar"
"5","5","2024-06-18 17:09:09.311711","0.99","28389.54","22.64","603","27","3","4","5","2.95","0","E","Gavar"
"6","6","2024-06-18 17:24:09.355352","1.08","31049.95","22.55","602","28","3","4","4","2.09","0","SE","Gavar"
"7","7","2024-06-18 17:39:09.446256","0.97","26315.59","22.93","603","30","3","3","4","3.56","0","NE","Gavar"
"8","8","2024-06-18 17:54:09.605949","0.91","22623.06","23.18","602","27","2","4","4","2.7","0","E","Gavar"
"9","9","2024-06-18 18:09:09.636603","0.86","18848.06","23.13","602","34","2","4","4","2.2","0","N","Gavar"
"10","10","2024-06-18 18:24:09.675372","1.21","28930.24","23.16","602","35","3","5","6","1.57","0","SE","Gavar"
"11","11","2024-06-18 18:39:09.701349","1.33","28722.86","23.2","602","33","6","8","9","2.23","0","E","Gavar"
"12","12","2024-06-18 18:54:09.761131","0.56","11928.83","21.1","603","39","4","5","6","2.59","0","NE","Gavar"
"13","13","2024-06-18 19:09:09.888156","0.46","10071.03","19.88","603","41","3","5","5","3.04","0","NE","Gavar"
"14","14","2024-06-18 19:24:09.940354","0.36","7477.71","19.49","603","41","3","4","4","1.17","0","NE","Gavar"
"15","15","2024-06-18 19:39:09.976000","0.43","6338.38","18.32","603","47","5","8","8","2.01","0","NW","Gavar"
"16","16","2024-06-18 19:54:10.072298","0.45","4930.78","17.59","603","56","7","11","12","0.38","0","W","Gavar"
"17","17","2024-06-18 20:09:10.095412","0.19","3052.25","17.19","603","57","7","12","12","0.28","0","W","Gavar"
