"","entry_id","time","uv","lux","temperature","pressure","humidity","pm1","pm2_5","pm10","speed","rain","direction","device"
"1","1","2024-03-06 15:54:47.409135",NA,NA,"6","619","50","20","37","39","6.77","0","W","Panik"
"2","2","2024-03-06 16:09:47.468976",NA,NA,"5","619","52","23","40","41","7.21","0","W","Panik"
"3","3","2024-03-06 16:24:47.567125",NA,NA,"5","619","51","18","31","34","6.8","0","SW","Panik"
"4","4","2024-03-06 16:39:47.697200",NA,NA,"5","619","50","37","81","86","6.82","0","W","Panik"
"5","5","2024-03-06 16:54:47.801301",NA,NA,"5","619","51","21","38","42","6.65","0","W","Panik"
"6","6","2024-03-06 17:09:47.904559",NA,NA,"5","619","51","17","29","32","6.97","0","W","Panik"
"7","7","2024-03-06 17:24:48.006700",NA,NA,"5","619","52","19","33","34","7.29","0","W","Panik"
"8","8","2024-03-06 17:39:48.161501",NA,NA,"5","619","53","22","41","43","8.31","0","W","Panik"
"9","9","2024-03-06 17:54:48.258412",NA,NA,"4","619","55","20","35","36","8.25","0","NW","Panik"
"10","10","2024-03-06 18:09:48.381100",NA,NA,"4","619","55","13","26","30","7.07","0","W","Panik"
"11","11","2024-03-06 18:24:48.481200",NA,NA,"3","619","63","16","28","29","8.52","0","W","Panik"
"12","12","2024-03-06 18:39:48.586787",NA,NA,"3","619","63","17","31","31","7.06","0","W","Panik"
"13","13","2024-03-06 18:54:48.693963",NA,NA,"4","619","60","19","35","35","6.89","0","W","Panik"
"14","14","2024-03-06 19:09:48.805901",NA,NA,"4","619","58","17","37","37","6.32","0","W","Panik"
"15","15","2024-03-06 19:24:48.915025",NA,NA,"3","619","64","25","46","50","6.9","0","NW","Panik"
"16","16","2024-03-06 19:39:49.029110",NA,NA,"4","619","56","18","31","32","7.16","0","SW","Panik"
"17","17","2024-03-06 19:54:49.196331",NA,NA,"4","619","56","12","23","24","10.99","0","S","Panik"
"18","18","2024-03-06 20:09:49.312969",NA,NA,"4","619","60","13","22","24","16.95","0","SW","Panik"
"19","19","2024-03-06 20:24:49.480017",NA,NA,"4","620","61","17","32","32","14.48","0","S","Panik"
"20","20","2024-03-06 20:39:49.625709",NA,NA,"4","619","59","18","32","32","8.21","0","SW","Panik"
"21","21","2024-03-06 20:54:49.777175",NA,NA,"4","619","57","21","36","37","9.01","0","W","Panik"
"22","22","2024-03-06 21:09:50.153554",NA,NA,"4","619","56","19","38","39","5.29","0","NW","Panik"
"23","23","2024-03-06 21:24:50.251155",NA,NA,"4","619","56","16","31","33","8.67","0","S","Panik"
"24","24","2024-03-06 21:39:50.418595",NA,NA,"4","619","53","14","27","28","14.03","0","SW","Panik"
"25","25","2024-03-06 21:54:50.574654",NA,NA,"4","619","53","16","32","32","13.81","0","SW","Panik"
"26","26","2024-03-06 22:09:50.655926",NA,NA,"5","619","50","23","34","34","11.72","0","W","Panik"
"27","27","2024-03-06 22:24:50.814189",NA,NA,"5","619","50","13","23","27","14.18","0","S","Panik"
"28","28","2024-03-06 22:39:50.906621",NA,NA,"4","619","53","31","55","60","6.3","0","W","Panik"
"29","29","2024-03-06 22:54:51.013008",NA,NA,"5","619","48","19","31","33","7.48","0","SW","Panik"
"30","30","2024-03-06 23:09:51.112244",NA,NA,"5","619","49","15","26","29","6.47","0","SW","Panik"
"31","31","2024-03-06 23:24:51.181137",NA,NA,"5","619","49","18","34","36","5.11","0","W","Panik"
"32","32","2024-03-06 23:39:51.286388",NA,NA,"5","619","49","19","35","38","5.45","0","NW","Panik"
"33","33","2024-03-06 23:54:51.457441",NA,NA,"3","619","62","20","37","40","5.96","0","NW","Panik"
"34","34","2024-03-07 00:09:51.484523",NA,NA,"3","619","62","21","43","45","5.02","0","W","Panik"
"35","35","2024-03-07 00:24:51.516181",NA,NA,"2","619","67","18","36","37","4.44","0","NW","Panik"
"36","36","2024-03-07 00:39:51.537083",NA,NA,"2","619","69","23","45","49","5.56","0","N","Panik"
"37","37","2024-03-07 00:54:51.639535",NA,NA,"2","619","70","21","43","47","2.71","0","NW","Panik"
"38","38","2024-03-07 01:09:51.738457",NA,NA,"2","619","71","23","43","46","3.08","0","N","Panik"
"39","39","2024-03-07 01:24:51.773202",NA,NA,"2","619","72","23","45","46","4.31","0","N","Panik"
"40","40","2024-03-07 01:39:51.877166",NA,NA,"2","619","71","20","41","48","1.76","0","N","Panik"
"41","41","2024-03-07 01:54:51.937073",NA,NA,"2","619","73","23","45","46","2.43","0","NW","Panik"
"42","42","2024-03-07 02:09:52.045681",NA,NA,"2","619","78","19","33","37","3.58","0","N","Panik"
"43","43","2024-03-07 02:24:52.081124",NA,NA,"1","619","79","19","37","38","1.88","0","SW","Panik"
"44","44","2024-03-07 02:39:52.191643",NA,NA,"1","618","81","23","47","49","3.86","0","NE","Panik"
"45","45","2024-03-07 02:54:52.273148",NA,NA,"1","618","83","22","44","47","4.38","0","SE","Panik"
"46","46","2024-03-07 03:09:52.353242",NA,NA,"1","618","84","25","46","50","4.08","0","N","Panik"
"47","47","2024-03-07 03:24:52.451531",NA,NA,"1","619","82","20","40","41","1.31","0","NE","Panik"
"48","48","2024-03-07 03:39:52.563696",NA,NA,"1","618","82","23","48","52","1.21","0","NE","Panik"
"49","49","2024-03-07 03:54:52.669548",NA,NA,"0","618","85","19","39","43","3.59","0","E","Panik"
"50","50","2024-03-07 04:09:52.752457",NA,NA,"0","618","84","19","38","39","3.35","0","E","Panik"
"51","51","2024-03-07 04:24:52.781123",NA,NA,"1","618","83","20","41","48","1.35","0","N","Panik"
"52","52","2024-03-07 04:39:52.881117",NA,NA,"1","618","80","15","35","39","2.26","0","NW","Panik"
"53","53","2024-03-07 04:54:52.976923",NA,NA,"0","618","86","19","38","43","4.78","0","NW","Panik"
"54","54","2024-03-07 05:09:53.077323",NA,NA,"0","618","88","22","49","53","4.3","0","E","Panik"
"55","55","2024-03-07 05:24:53.182989",NA,NA,"1","618","84","18","34","34","0.99","0","E","Panik"
"56","56","2024-03-07 05:39:53.237176",NA,NA,"1","618","81","7","13","13","1.98","0","S","Panik"
"57","57","2024-03-07 05:54:53.315278",NA,NA,"1","618","84","10","19","23","1.96","0","W","Panik"
"58","58","2024-03-07 06:09:53.365074",NA,NA,"0","618","88","3","7","7","2.63","0","S","Panik"
"59","59","2024-03-07 06:24:53.425111",NA,NA,"0","618","86","4","5","5","5.65","0","SE","Panik"
"60","60","2024-03-07 06:39:53.477322",NA,NA,"0","618","84","2","4","4","5.02","0","SE","Panik"
"61","61","2024-03-07 06:54:53.525002",NA,NA,"0","618","82","2","4","4","3.49","0","SE","Panik"
"62","62","2024-03-07 07:09:53.635161",NA,NA,"0","618","83","2","5","5","2.74","0","E","Panik"
"63","63","2024-03-07 07:24:53.711301",NA,NA,"0","618","82","1","3","3","0.54","0","NE","Panik"
"64","64","2024-03-07 07:39:53.789417",NA,NA,"1","618","78","2","5","5","0.76","0","SE","Panik"
"65","65","2024-03-07 07:54:53.860257",NA,NA,"1","618","82","2","3","3","3.39","0","S","Panik"
"66","66","2024-03-07 08:09:53.901105",NA,NA,"1","618","85","6","13","13","0.86","0","N","Panik"
"67","67","2024-03-07 08:24:54.009071",NA,NA,"1","618","85","15","34","35","0.69","0","NE","Panik"
"68","68","2024-03-07 08:39:54.093902",NA,NA,"1","618","86",NA,NA,NA,"1.12","0","NE","Panik"
"69","69","2024-03-07 08:54:54.195724",NA,NA,"1","618","85","10","22","22","1.28","0","N","Panik"
"70","70","2024-03-07 09:09:54.304545",NA,NA,"1","618","86","6","11","11","2.41","0","SE","Panik"
"71","71","2024-03-07 09:24:54.357113",NA,NA,"1","618","85","13","19","19","2.48","0.2794","NE","Panik"
"72","72","2024-03-07 09:39:54.462816",NA,NA,"1","618","86","9","14","15","1.62","0","E","Panik"
"73","73","2024-03-07 09:54:54.480511",NA,NA,"1","618","87","10","17","18","1.04","0","E","Panik"
"74","74","2024-03-07 10:09:54.566625",NA,NA,"1","618","87","12","24","27","0.7","0","NE","Panik"
"75","75","2024-03-07 10:24:54.662455",NA,NA,"2","618","85","15","27","27","0.86","0.2794","E","Panik"
"76","76","2024-03-07 10:39:54.753897",NA,NA,"3","618","83","11","20","20","2.11","0","N","Panik"
"77","77","2024-03-07 10:54:54.805104",NA,NA,"2","618","84","18","33","36","2.22","0","NW","Panik"
"78","78","2024-03-07 11:09:54.892847",NA,NA,"2","618","85","17","32","34","3.02","0","NW","Panik"
"79","79","2024-03-07 11:24:55.005251",NA,NA,"2","618","83","7","14","14","2.62","0","N","Panik"
"80","80","2024-03-07 11:39:55.110864",NA,NA,"3","618","79","3","6","6","2.12","0","N","Panik"
"81","81","2024-03-07 11:54:55.226757",NA,NA,"2","618","81","7","10","11","1.87","0","NW","Panik"
"82","82","2024-03-07 12:09:55.269101",NA,NA,"2","618","87","7","14","14","2.65","0","NW","Panik"
"83","83","2024-03-07 12:24:55.325824",NA,NA,"2","618","88","30","56","61","3.31","0.2794","N","Panik"
"84","84","2024-03-07 12:39:55.417393",NA,NA,"1","618","90","17","37","38","4.12","0","NW","Panik"
"85","85","2024-03-07 12:54:55.501111",NA,NA,"1","618","91","14","29","31","4.58","0","N","Panik"
"86","86","2024-03-07 13:09:55.607931",NA,NA,"1","618","92","24","46","50","4.81","0","NW","Panik"
"87","87","2024-03-07 13:24:55.714267",NA,NA,"0","618","93","15","32","36","4.65","0","NW","Panik"
"88","88","2024-03-07 13:39:55.741176",NA,NA,"1","618","92","43","83","91","5.31","0","NW","Panik"
"89","89","2024-03-07 13:54:55.784813",NA,NA,"1","618","92","25","54","59","3.98","0","N","Panik"
"90","90","2024-03-07 14:09:55.890585",NA,NA,"2","618","88","41","77","86","2.81","0","N","Panik"
"91","91","2024-03-07 14:24:55.933084",NA,NA,"3","618","83","6","12","12","2.73","0","E","Panik"
"92","92","2024-03-07 14:39:56.010194",NA,NA,"4","618","79","12","20","20","1.89","0","NE","Panik"
"93","93","2024-03-07 14:54:56.104218",NA,NA,"5","618","78","12","25","25","3.92","0","N","Panik"
"94","94","2024-03-07 15:09:56.125109",NA,NA,"4","618","81","9","18","19","4.28","0","N","Panik"
"95","95","2024-03-07 15:24:56.149067",NA,NA,"2","618","85","7","15","15","4.99","0","N","Panik"
"96","96","2024-03-07 15:39:56.273176",NA,NA,"1","618","88","11","27","28","5.08","0.2794","NW","Panik"
"97","97","2024-03-07 15:54:56.386408",NA,NA,"2","618","87","26","49","50","4.08","0","NW","Panik"
"98","98","2024-03-07 16:09:56.405191",NA,NA,"0","618","91","20","39","43","6.62","0","NE","Panik"
"99","99","2024-03-07 16:24:56.428334",NA,NA,"0","618","91","15","31","32","4.12","0","NW","Panik"
"100","100","2024-03-07 16:39:56.465172",NA,NA,"0","618","92","11","21","21","3.37","0","N","Panik"
"101","101","2024-03-07 16:54:56.513616",NA,NA,"0","618","92","5","12","12","1.89","0","NE","Panik"
"102","102","2024-03-07 17:09:56.589121",NA,NA,"0","619","91","24","47","48","1.59","0","NW","Panik"
"103","103","2024-03-07 17:24:56.702255",NA,NA,"0","619","92","2","6","6","1.68","0","NE","Panik"
"104","104","2024-03-07 17:39:56.809490",NA,NA,"0","618","91","46","81","87","0.44","0","NE","Panik"
"105","105","2024-03-07 17:54:56.880517",NA,NA,"0","619","91","16","29","29","0.8","0","NW","Panik"
"106","106","2024-03-07 18:09:56.971889",NA,NA,"-1","619","94","13","23","26","2.39","0","NW","Panik"
"107","107","2024-03-07 18:24:57.078714",NA,NA,"-1","619","95","22","46","50","2.77","0","W","Panik"
"108","108","2024-03-07 18:39:57.179320",NA,NA,"-1","619","96","8","15","16","3.73","0","NW","Panik"
"109","109","2024-03-07 18:54:57.277146",NA,NA,"-1","619","96","15","37","40","0","0",NA,"Panik"
"110","110","2024-03-07 19:09:57.361180",NA,NA,"-1","619","96","2","5","6","0","0",NA,"Panik"
"111","111","2024-03-07 19:24:57.466168",NA,NA,"-2","619","95","9","16","16","0","0",NA,"Panik"
"112","112","2024-03-07 19:39:57.587953",NA,NA,"-2","619","95","4","6","6","0","0",NA,"Panik"
"113","113","2024-03-07 19:54:57.697124",NA,NA,"-2","620","94","4","9","10","0","0",NA,"Panik"
"114","114","2024-03-07 20:09:58.215858",NA,NA,"-2","620","93","16","26","29","0","0",NA,"Panik"
"115","115","2024-03-07 20:24:58.326896",NA,NA,"-2","620","92","20","42","44","0","0",NA,"Panik"
"116","116","2024-03-07 20:39:58.422896",NA,NA,"-2","620","88","1","2","4","0","0",NA,"Panik"
"117","117","2024-03-07 20:54:58.550486",NA,NA,"-2","620","86","2","5","7","0","0",NA,"Panik"
"118","118","2024-03-07 21:09:58.641146",NA,NA,"-2","620","84","4","7","7","0","0",NA,"Panik"
"119","119","2024-03-07 21:24:58.736986",NA,NA,"-2","620","84","1","2","2","0","0",NA,"Panik"
"120","120","2024-03-07 21:39:58.801013",NA,NA,"-2","620","82","4","8","9","0","0",NA,"Panik"
"121","121","2024-03-07 21:54:58.905561",NA,NA,"-2","620","83","11","19","20","0","0",NA,"Panik"
"122","122","2024-03-07 22:09:58.932812",NA,NA,"-2","620","82","1","4","4","0","0",NA,"Panik"
"123","123","2024-03-07 22:24:58.977159",NA,NA,"-2","620","82","1","4","4","0","0",NA,"Panik"
"124","124","2024-03-07 22:39:59.076542",NA,NA,"-2","620","81","1","4","4","0","0",NA,"Panik"
"125","125","2024-03-07 22:54:59.188840",NA,NA,"-2","620","80","0","1","1","0","0",NA,"Panik"
"126","126","2024-03-07 23:09:59.298036",NA,NA,"-3","620","81","0","0","0","0","0",NA,"Panik"
"127","127","2024-03-07 23:24:59.340387",NA,NA,"-3","621","83","5","5","7","0","0",NA,"Panik"
"128","128","2024-03-07 23:39:59.405195",NA,NA,"-5","620","83","7","11","11","0","0",NA,"Panik"
"129","129","2024-03-07 23:54:59.505127",NA,NA,"-5","621","85","1","4","4","0","0",NA,"Panik"
"130","130","2024-03-08 00:09:59.589170",NA,NA,"-5","621","84","2","4","5","0","0",NA,"Panik"
"131","131","2024-03-08 00:24:59.645147",NA,NA,"-4","621","86","0","1","1","0","0",NA,"Panik"
"132","132","2024-03-08 00:39:59.753499",NA,NA,"-3","621","85","0","1","1","0","0",NA,"Panik"
"133","133","2024-03-08 00:54:59.858604",NA,NA,"-3","621","82","0","0","0","0","0",NA,"Panik"
"134","134","2024-03-08 01:09:59.871292",NA,NA,"-4","621","84","0","0","1","0","0",NA,"Panik"
"135","135","2024-03-08 01:24:59.972853",NA,NA,"-3","621","85","1","2","2","0","0",NA,"Panik"
"136","136","2024-03-08 01:40:00.056525",NA,NA,"-4","621","85","5","8","8","0","0",NA,"Panik"
"137","137","2024-03-08 01:55:00.076877",NA,NA,"-4","621","85","1","2","2","0","0",NA,"Panik"
"138","138","2024-03-08 02:10:00.187866",NA,NA,"-5","621","87","0","0","0","0","0",NA,"Panik"
"139","139","2024-03-08 02:25:00.266083",NA,NA,"-6","621","87","0","0","0","0","0",NA,"Panik"
"140","140","2024-03-08 02:40:00.277405",NA,NA,"-6","621","84","0","1","1","0","0",NA,"Panik"
"141","141","2024-03-08 02:55:00.345428",NA,NA,"-6","621","86","0","1","1","0","0",NA,"Panik"
"142","142","2024-03-08 03:10:00.373152",NA,NA,"-7","621","83","0","0","0","0","0",NA,"Panik"
"143","143","2024-03-08 03:25:00.465370",NA,NA,"-8","621","84","0","1","1","0","0",NA,"Panik"
"144","144","2024-03-08 03:40:00.578619",NA,NA,"-9","621","85","1","1","1","0","0",NA,"Panik"
"145","145","2024-03-08 03:55:00.674727",NA,NA,"-9","620","85","0","1","1","0","0",NA,"Panik"
"146","146","2024-03-08 04:10:00.720271",NA,NA,"-9","620","84","1","3","3","0","0",NA,"Panik"
"147","147","2024-03-08 04:25:00.818630",NA,NA,"-9","620","85","1","4","4","0","0",NA,"Panik"
"148","148","2024-03-08 04:40:00.838558",NA,NA,"-9","620","85","3","4","6","0","0",NA,"Panik"
"149","149","2024-03-08 04:55:00.925117",NA,NA,"-9","620","85","3","6","7","0","0",NA,"Panik"
"150","150","2024-03-08 05:10:01.017342",NA,NA,"-9","620","85","0","3","3","0","0",NA,"Panik"
"151","151","2024-03-08 05:25:01.112901",NA,NA,"-10","620","85","1","3","3","0","0",NA,"Panik"
