"","entry_id","time","uv","lux","temperature","pressure","humidity","pm1","pm2_5","pm10","speed","rain","direction","device"
"1","1","2024-06-18 12:56:00.769321",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,"Sevan"
"2","2","2024-06-18 13:30:50.909773","1.45","20973.38","18","592","45","0","1","3","3.82","0.2794",NA,"Sevan"
"3","3","2024-06-18 13:45:50.943629","1.45","19374.64","19.42","593","42","1","2","2","0","0",NA,"Sevan"
"4","4","2024-06-18 14:00:50.945121","1.83","26191.67","20.38","593","40","2","4","5","0","0",NA,"Sevan"
"5","5","2024-06-18 14:15:51.043123","3.05","51974.31","18.85","593","46","3","8","9","0","0",NA,"Sevan"
"6","6","2024-06-18 14:30:51.085919","3.28","51974.31","19.66","593","49","4","11","14","0","0",NA,"Sevan"
"7","7","2024-06-18 14:45:51.164738","4.5","51974.31","21.14","593","42","7","13","15","0","0",NA,"Sevan"
"8","8","2024-06-18 15:00:51.160906","4.09","51974.31","22.08","592","44","1","3","3","0","0",NA,"Sevan"
"9","9","2024-06-18 15:15:51.222302","3.64","51974.31","21.43","592","41","1","3","3","0","0",NA,"Sevan"
"10","10","2024-06-18 15:30:51.253338","3.05","51974.31","20.99","592","39","1","1","3","0","0",NA,"Sevan"
"11","11","2024-06-18 15:45:51.254394","3.34","51974.31","21.85","592","39","2","5","5","0","0",NA,"Sevan"
"12","12","2024-06-18 16:00:51.309748","2.87","51974.31","21.33","592","43","4","6","8","0","0",NA,"Sevan"
"13","13","2024-06-18 16:15:51.407413","2.84","51974.31","21.39","592","40","2","3","4","0","0",NA,"Sevan"
"14","14","2024-06-18 16:30:51.486309","2.52","51974.31","21.79","592","37","4","9","9","0","0",NA,"Sevan"
"15","15","2024-06-18 16:45:51.512464","2.18","51974.31","21.34","592","39","4","6","6","0","0",NA,"Sevan"
"16","16","2024-06-18 17:00:51.608655","2.17","51974.31","21.55","592","38","1","3","3","0","0",NA,"Sevan"
"17","17","2024-06-18 17:15:51.634974","1.97","51974.31","21.46","592","40","2","4","4","0","0",NA,"Sevan"
"18","18","2024-06-18 17:30:51.667741","1.4","51974.31","20.53","592","43","2","3","4","0","0",NA,"Sevan"
"19","19","2024-06-18 17:45:51.752522","1.72","41662.97","20.5","592","44","2","4","4","0","0",NA,"Sevan"
"20","20","2024-06-18 18:00:51.857808","0.04","51974.31","20.78","592","39","2","4","4","0","0",NA,"Sevan"
"21","21","2024-06-18 18:15:51.952080","0","45132.89","21.17","592","40","2","4","5","0","0",NA,"Sevan"
"22","22","2024-06-18 18:30:52.024702","1.61","21743.14","20.83","592","43","2","3","4","0","0",NA,"Sevan"
"23","23","2024-06-18 18:45:52.122308","1.93","18539.05","20.43","592","44","3","6","8","0","0",NA,"Sevan"
"24","24","2024-06-18 19:00:52.223645","1.41","13251.45","20.44","592","42","3","4","5","0","0",NA,"Sevan"
"25","25","2024-06-18 19:15:52.340639","1.39","9800.37","20.43","592","42","3","5","6","0","0",NA,"Sevan"
"26","26","2024-06-18 19:30:52.440734","0.66","6381.36","20.63","593","42","3","5","7","0","0",NA,"Sevan"
"27","27","2024-06-18 19:45:52.602302","0.48","4379.74","19.15","593","44","3","5","8","0","0",NA,"Sevan"
"28","28","2024-06-18 20:00:52.700347","2.68","4084.6","18.56","593","46","3","7","10","0","0",NA,"Sevan"
"29","29","2024-06-18 20:15:52.717841","0.22","2107.46","17.89","593","47","8","15","16","0","0",NA,"Sevan"
"30","30","2024-06-18 20:30:52.852324","0.05","709.19","17.34","593","51","36","65","77","0","0",NA,"Sevan"
"31","31","2024-06-18 20:53:23.820040","0","54.59","17.93","607","53","21","37","42","0.07","0",NA,"Sevan"
"32","32","2024-06-18 21:08:23.855737","0","10.09","16.93","607","59","12","22","25","0","0",NA,"Sevan"
"33","33","2024-06-18 21:23:23.955283","0","7.14","15.89","607","67","11","23","26","0","0",NA,"Sevan"
"34","34","2024-06-18 21:38:24.053085","0","6.34","15.34","607","70","13","22","25","0","0",NA,"Sevan"
"35","35","2024-06-18 21:53:24.151169","0","6.34","15.4","607","69","9","16","19","0","0",NA,"Sevan"
"36","36","2024-06-18 22:08:24.199501","0","6.34","15.44","607","66","5","8","8","0","0",NA,"Sevan"
"37","37","2024-06-18 22:23:24.297279","0","6.34","15.24","606","67","5","11","12","0","0",NA,"Sevan"
"38","38","2024-06-18 22:38:24.394620","0","6.34","14.07","607","68","7","13","15","0","0",NA,"Sevan"
"39","39","2024-06-18 22:53:24.475172","0","6.34","13.7","607","70","5","8","8","0","0",NA,"Sevan"
"40","40","2024-06-18 23:08:24.572303","0","6.34","14.22","607","68","5","8","8","0","0",NA,"Sevan"
"41","41","2024-06-18 23:23:24.670177","0","6.34","13.42","607","71","5","11","13","0","0",NA,"Sevan"
"42","42","2024-06-18 23:38:24.677120","0","6.34","13.25","607","71","6","12","14","0","0",NA,"Sevan"
"43","43","2024-06-18 23:53:24.732967","0","6.34","14.26","607","72","7","13","13","0","0",NA,"Sevan"
"44","44","2024-06-19 00:08:24.825921","0","6.34","14.08","607","71","9","17","20","0","0",NA,"Sevan"
"45","45","2024-06-19 00:23:24.915785","0","6.34","14.31","607","73","8","15","16","0","0",NA,"Sevan"
"46","46","2024-06-19 00:38:25.008363","0","6.34","15.32","607","72","10","23","25","0","0",NA,"Sevan"
"47","47","2024-06-19 00:53:25.095764","0","6.34","15.42","607","73","9","17","19","0","0",NA,"Sevan"
"48","48","2024-06-19 01:08:25.193053","0","6.34","15.91","607","73","12","24","26","0","0",NA,"Sevan"
"49","49","2024-06-19 01:23:25.286287","0","6.34","16.19","607","73","12","23","25","0","0",NA,"Sevan"
"50","50","2024-06-19 01:38:25.383247","0","6.34","15.97","607","75","12","20","21","0","0",NA,"Sevan"
"51","51","2024-06-19 01:53:25.475630","0","6.34","15.48","607","74","11","21","23","0","0",NA,"Sevan"
"52","52","2024-06-19 02:08:25.572302","0","6.34","15.2","607","75","11","20","21","0","0",NA,"Sevan"
"53","53","2024-06-19 02:23:25.575761","0","6.34","14.86","607","75","11","21","24","0","0",NA,"Sevan"
"54","54","2024-06-19 02:38:25.659641","0","6.34","13.28","606","79","12","20","21","0","0",NA,"Sevan"
"55","55","2024-06-19 02:53:25.659876","0","5.55","13.03","606","80","11","19","21","0","0",NA,"Sevan"
"56","56","2024-06-19 03:08:25.715751","0","5.55","13.62","606","79","11","18","20","0","0",NA,"Sevan"
"57","57","2024-06-19 03:23:25.795186","0","5.55","13.55","606","79","9","15","18","0","0",NA,"Sevan"
"58","58","2024-06-19 03:38:25.876865","0","5.55","13.3","606","79","13","21","23","0","0",NA,"Sevan"
"59","59","2024-06-19 03:53:25.935410","0","5.55","13.37","606","74","10","19","21","0","0",NA,"Sevan"
"60","60","2024-06-19 04:08:26.029139","0","5.55","12.39","606","84","12","23","24","0","0",NA,"Sevan"
"61","61","2024-06-19 04:23:26.049650","0","5.55","11.68","606","81","11","23","27","0","0",NA,"Sevan"
"62","62","2024-06-19 04:38:26.147211","0","5.55","10.56","606","82","10","18","20","0","0",NA,"Sevan"
"63","63","2024-06-19 04:53:26.235144","0","5.94","10.8","606","86","10","22","24","0","0",NA,"Sevan"
"64","64","2024-06-19 05:08:26.313450","0.05","15.63","11.76","606","83","9","17","21","0","0",NA,"Sevan"
"65","65","2024-06-19 05:23:26.360239","0.01","133.87","11.41","606","82","9","18","21","0","0",NA,"Sevan"
"66","66","2024-06-19 05:38:26.452451","0.04","680.37","10.42","606","81","8","15","17","0","0",NA,"Sevan"
"67","67","2024-06-19 05:53:26.515750","0.09","1580.92","10.59","606","83","9","18","23","0","0",NA,"Sevan"
"68","68","2024-06-19 06:08:26.526206","0.16","2737.11","9.96","606","82","8","14","15","0","0",NA,"Sevan"
"69","69","2024-06-19 06:23:26.619738","0.14","3339.79","10.22","606","81","9","15","16","0","0",NA,"Sevan"
"70","70","2024-06-19 06:38:26.712067","0.18","4053.57","10.48","606","82","11","22","26","0","0",NA,"Sevan"
"71","71","2024-06-19 06:53:26.806392","0.19","4837.17","11.63","606","83","10","17","19","0","0",NA,"Sevan"
"72","72","2024-06-19 07:08:26.898975","0.24","6721.82","11.44","606","81","11","18","21","0","0",NA,"Sevan"
"73","73","2024-06-19 07:23:26.980229","0.48","8837.45","12.83","607","79","10","18","21","0","0",NA,"Sevan"
"74","74","2024-06-19 07:38:27.072875","0.69","11309.77","14.81","606","79","11","20","21","0","0",NA,"Sevan"
"75","75","2024-06-19 07:53:27.165343","0.43","9514.99","16.8","607","70","10","21","24","0","0",NA,"Sevan"
"76","76","2024-06-19 08:08:27.225770","0.48","10656.6","16.61","607","69","9","17","20","0","0",NA,"Sevan"
"77","77","2024-06-19 08:23:27.320348","0.69","14116.42","17.18","607","69","9","14","14","0","0",NA,"Sevan"
"78","78","2024-06-19 08:38:27.417632","0.76","15595.96","17.48","607","69","8","13","14","0","0",NA,"Sevan"
